id,key,value,type
25213268,address,"direction Marseille, Route de Marseille",regular
25213268,amenity,fuel,regular
25213268,brand,Total,regular
25213268,wikidata,Q154037,brand
25213268,wikipedia,fr:Total (entreprise),brand
25213268,compressed_air,yes,regular
25213268,diesel,yes,fuel
25213268,e10,yes,fuel
25213268,octane_98,yes,fuel
25213268,lanes,yes,hgv
25213268,name,Station Total Le National,regular
25213268,operator,Total,regular
25213268,FR:prix-carburants,13300002,ref
25213268,shop,convenience,regular
25213268,source,stations.gpl.online.fr,regular
25213268,vending,fuel,regular
25213268,vending_machine,fuel,regular
26410395,barrier,toll_booth,regular
26410440,barrier,toll_booth,regular
26692283,postcode,13300,addr
26692283,name,Salon-de-Provence,regular
26692283,ca,Selon de Provença,name
26692283,en,Salon de Provence,name
26692283,oc,Selon,name
26692283,ru,Салон-де-Прованс,name
26692283,place,town,regular
26692283,FR:SIREN,211301031,ref
26692283,name:oc,ieo-bdtopoc,source
26694808,postcode,13680,addr
26694808,name,Lançon-Provence,regular
26694808,oc,Alençon,name
26694808,place,village,regular
26694808,FR:SIREN,211300512,ref
26694808,name:oc,ieo-bdtopoc,source
26695626,postcode,13330,addr
26695626,name,Pélissanne,regular
26695626,oc,Pelissana,name
26695626,place,village,regular
26695626,FR:SIREN,211300694,ref
26695626,name:oc,ieo-bdtopoc,source
34029225,highway,motorway_junction,regular
34029225,name,Grans,regular
34029225,ref,14,regular
34030454,highway,motorway_junction,regular
34030454,name,Salon-Ouest,regular
34030454,ref,13,regular
34031078,crossing,uncontrolled,regular
34031078,crossing_ref,zebra,regular
34031078,highway,crossing,regular
34031078,traffic_calming,table,regular
34031098,crossing,uncontrolled,regular
34031098,crossing_ref,zebra,regular
34031098,highway,crossing,regular
34031098,traffic_calming,table,regular
34039507,crossing,traffic_signals,regular
34039507,highway,traffic_signals,regular
34039507,tactile_paving,yes,regular
34039510,crossing,traffic_signals,regular
34039510,highway,traffic_signals,regular
34039510,tactile_paving,yes,regular
34039520,highway,crossing,regular
34039520,tactile_paving,yes,regular
34039538,crossing,uncontrolled,regular
34039538,crossing_ref,zebra,regular
34039538,highway,crossing,regular
34555301,created_by,Editop,regular
34555332,crossing,uncontrolled,regular
34555332,crossing_ref,zebra,regular
34555332,highway,crossing,regular
80615978,highway,crossing,regular
80616640,highway,crossing,regular
80616640,traffic_calming,hump,regular
95604921,postcode,13121,addr
95604921,name,Aurons,regular
95604921,oc,Aurons,name
95604921,place,village,regular
95604921,FR:SIREN,211300082,ref
95604921,name:oc,ieo-bdtopoc,source
95604946,postcode,13330,addr
95604946,name,La Barben,regular
95604946,oc,La Barbent,name
95604946,place,village,regular
95604946,FR:SIREN,211300090,ref
95604946,name:oc,ieo-bdtopoc,source
247001983,exit_to,Nice;Toulon;Marseille;Aix en Provence,regular
247001983,highway,motorway_junction,regular
247001983,name,Échangeur A7,regular
247002028,exit_to,A 54;Barcelone;Nîmes;Arles;Istres;Salon,regular
247002028,highway,motorway_junction,regular
247002028,name,Échangeur entre A7 et A 54,regular
247002038,created_by,JOSM,regular
247002064,exit_to,A 54;Barcelone;Nîmes;Arles;Istres;Salon,regular
247002064,highway,motorway_junction,regular
247002064,name,Échangeur entre A7 et A 54,regular
259970846,created_by,JOSM,regular
259970847,created_by,JOSM,regular
259970848,created_by,JOSM,regular
